2019-01-06 15:04:44.926 INFO  --- [StartupInfoLogger.java:50][main] - Starting SpringbootTemplateApplication on PC-20171019BQNQ with PID 10000 (E:\Code\idea\SpringbootTemplate\target\classes started by Administrator in E:\Code\idea\SpringbootTemplate)
2019-01-06 15:04:44.928 INFO  --- [SpringApplication.java:679][main] - The following profiles are active: dev
2019-01-06 15:04:46.624 INFO  --- [StartupInfoLogger.java:59][main] - Started SpringbootTemplateApplication in 2.329 seconds (JVM running for 3.359)
2019-01-06 15:04:59.109 WARN  --- [AbstractHandlerExceptionResolver.java:194][http-nio-9000-exec-2] - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'cityName' is not present]
2019-01-06 15:07:37.529 INFO  --- [StartupInfoLogger.java:50][main] - Starting SpringbootTemplateApplication on PC-20171019BQNQ with PID 7200 (E:\Code\idea\SpringbootTemplate\target\classes started by Administrator in E:\Code\idea\SpringbootTemplate)
2019-01-06 15:07:37.533 INFO  --- [SpringApplication.java:679][main] - The following profiles are active: dev
2019-01-06 15:07:39.091 INFO  --- [StartupInfoLogger.java:59][main] - Started SpringbootTemplateApplication in 2.089 seconds (JVM running for 3.022)
2019-01-06 15:07:42.858 WARN  --- [AbstractHandlerExceptionResolver.java:194][http-nio-9000-exec-2] - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'cityName' is not present]
2019-01-06 15:08:49.162 INFO  --- [StartupInfoLogger.java:50][main] - Starting SpringbootTemplateApplication on PC-20171019BQNQ with PID 1288 (E:\Code\idea\SpringbootTemplate\target\classes started by Administrator in E:\Code\idea\SpringbootTemplate)
2019-01-06 15:08:49.166 INFO  --- [SpringApplication.java:679][main] - The following profiles are active: dev
2019-01-06 15:08:50.606 INFO  --- [StartupInfoLogger.java:59][main] - Started SpringbootTemplateApplication in 2.034 seconds (JVM running for 2.947)
2019-01-06 15:08:53.020 ERROR --- [GlobalErrorInfoHandler.java:23][http-nio-9000-exec-2] - params no complete
2019-01-06 15:09:56.139 INFO  --- [StartupInfoLogger.java:50][main] - Starting SpringbootTemplateApplication on PC-20171019BQNQ with PID 12816 (E:\Code\idea\SpringbootTemplate\target\classes started by Administrator in E:\Code\idea\SpringbootTemplate)
2019-01-06 15:09:56.143 INFO  --- [SpringApplication.java:679][main] - The following profiles are active: dev
2019-01-06 15:09:57.679 INFO  --- [StartupInfoLogger.java:59][main] - Started SpringbootTemplateApplication in 1.985 seconds (JVM running for 2.802)
