2019-07-07 22:28:45.446 INFO  --- [StartupInfoLogger.java:50][main] - Starting SpringbootTemplateApplication on teendadeMBP with PID 7732 (/Users/teenyda/project/ideaProject/SpringbootTemplate/target/classes started by teenyda in /Users/teenyda/project/ideaProject/SpringbootTemplate)
2019-07-07 22:28:45.449 INFO  --- [SpringApplication.java:679][main] - The following profiles are active: dev
2019-07-07 22:28:47.631 WARN  --- [ThymeleafAutoConfiguration.java:108][main] - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-07-07 22:28:47.762 INFO  --- [StartupInfoLogger.java:59][main] - Started SpringbootTemplateApplication in 3.136 seconds (JVM running for 5.35)
2019-07-07 22:32:36.216 INFO  --- [StartupInfoLogger.java:50][main] - Starting SpringbootTemplateApplication on teendadeMBP with PID 7768 (/Users/teenyda/project/ideaProject/SpringbootTemplate/target/classes started by teenyda in /Users/teenyda/project/ideaProject/SpringbootTemplate)
2019-07-07 22:32:36.222 INFO  --- [SpringApplication.java:679][main] - The following profiles are active: dev
2019-07-07 22:32:38.809 WARN  --- [ThymeleafAutoConfiguration.java:108][main] - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-07-07 22:32:38.989 INFO  --- [StartupInfoLogger.java:59][main] - Started SpringbootTemplateApplication in 3.432 seconds (JVM running for 4.989)
2019-07-07 22:36:17.172 ERROR --- [GlobalErrorInfoHandler.java:23][http-nio-9000-exec-10] - params no complete
2019-07-07 22:38:49.713 INFO  --- [StartupInfoLogger.java:50][main] - Starting SpringbootTemplateApplication on teendadeMBP with PID 7845 (/Users/teenyda/project/ideaProject/SpringbootTemplate/target/classes started by teenyda in /Users/teenyda/project/ideaProject/SpringbootTemplate)
2019-07-07 22:38:49.716 INFO  --- [SpringApplication.java:679][main] - The following profiles are active: dev
2019-07-07 22:38:51.086 WARN  --- [ThymeleafAutoConfiguration.java:108][main] - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-07-07 22:38:51.252 INFO  --- [StartupInfoLogger.java:59][main] - Started SpringbootTemplateApplication in 1.883 seconds (JVM running for 2.678)
